source_track,times_sampled_by_brazil
Eric Farias — My Time Is Now (2011) [Brazil],1
Cat Burns — Sober (2020) [United Kingdom],1
Love Unlimited Orchestra — Strange Games & Things (1976) [United States],1
Racionais MC’s — Pânico na Zona Sul (1990) [Brazil],1
Racionais MC’s — Tempos difíceis (1990) [Brazil],1
Vintage Culture — If I Live Forever (2023) [Brazil],1
Gustavo Rique — Pathfinder (2021) [Brazil],1
Jaloo — Insight (2014) [Brazil],1
DJ MAMAMIA ROLA — MTG6 - LIKE A G6 ( VERSÃO AMERICANA ) (2023) [Brazil],1
Vintage Culture — Monday (2017) [Brazil],1
3dNOW — Double the Trouble (2012) [Japan],1
Tough Art — Keep Moving (extended mix) (2024) [Brazil],1
Jorge Ben Jor — Frases (1967) [Brazil],1
Jorge Ben Jor — Domingas (1969) [Brazil],1
Funk Buia — Respeito máximo (2013) [Brazil],1
Random Movement — Ahead of It All (2016) [United States],1
Need for Mirrors — Reset (2016) [United Kingdom],1
Paul T — Tempt (2016) [United Kingdom],1
Command Strange — Black & White (2016) [Kazakhstan],1
L‐Side — Riddim Dancer (2016) [Brazil],1
DJ Chap — Let Me Love You (Random Movement remix) (2016) [Brazil],1
Unreal — Just One Night (2016) [Brazil],1
Murdock — Tribes (2016) [Belgium],1
Daz Bailey — Sugar (2016) [United Kingdom],1
Paul SG — Jazz Cigarette (2016) [Austria],1
Command Strange — Desire (2016) [Kazakhstan],1
Peshay — Funkster (2016) [United Kingdom],1
L‐Side — Dreadlocks (2016) [Brazil],1
L‐Side — So High VIP (2016) [Brazil],1
Command Strange — Dismiss (2016) [Kazakhstan],1
Alibi — Aftermath (2016) [Brazil],1
Paul T — Infamous (2016) [United Kingdom],1
Roni Size — It's a Jazz Thing (Juiceman remix) (2016) [United Kingdom],1
Command Strange — Visions (2016) [Kazakhstan],1
Saxxon — The Only One VIP (2016) [United Kingdom],1
Rowpieces — V Like Vivacious (2016) [(unknown)],1
Savage Rehab — Neck Funk (2016) [(unknown)],1
David Boomah — Where Do We Go From Here (One Love) (Calibre remix) (2016) [(unknown)],1
Jaybee — Forgotten Funk (2016) [(unknown)],1
André Sobota — Descend (2019) [Brazil],1
Glass Candy — Computer Love (2007) [United States],1
Crookers — Love to Edit (2007) [Italy],1
A‐Trak — Say Whoa (2008) [Canada],1
MixHell — Highly Explicit (Brodinski remix) (2009) [Brazil],1
Jokers of the Scene — Acidrod (2008) [Canada],1
Metallica — For Whom the Bell Tolls (1984) [United States],1
MixHell — Sore Throat Break (2007) [Brazil],1
CLP — Ain't Nobody Cooler (Mixhell remix) (2008) [(unknown)],1
Racionais MC’s — V.L. (parte I) (2002) [Brazil],1
茶太 — だんご大家族 (2007) [Japan],1
Amon Tobin — Wooden Toy (2011) [Brazil],1
Renato Cohen — Morse Song (2018) [Brazil],1
Natur — There Will Be No Tears (2021) [Brazil],1
GUSTAVOEGATOTV — Trapinha (2020) [Brazil],1
HNQO — Brown Eyes (2023) [Brazil],1
Léo Leobons — Obá ibo (2018) [Brazil],1
Alibi — Shurikan (2019) [Brazil],1
Burn in Noise — Ozzo (2007) [Brazil],1
Play School — Wiggerly Woo (2012) [Australia],1
Dream Team do Passinho — Pra querer (2015) [Brazil],1
Angra — Angels Cry (1993) [Brazil],1
Elekfantz — Work It Out (2018) [Brazil],1
Flavia Coelho — Canta comigo (2010) [Brazil],1
Diana Ross — It's Your Move (1984) [United States],1
Macintosh Plus — リサフランク420 / 現代のコンピュー (2011) [(unknown)],1
