brazilian_source  foreign_derivative  deriver_country  relation  weight
Astrud Gilberto — Agua de beber (Water to Drink) (1965) [Brazil]  saib. — Agua (2019) [(unknown)]  (unknown)  remix  1
Eumir Deodato — Rhapsody in Blue (1973) [Brazil]  Del the Funky Homosapien — Catch a Bad One (1993) [United States]  United States  sample  1
Mental Broadcast — Receiver (2011) [Brazil]  Sonic Species — Receiver (Faders remix) (2014) [United Kingdom]  United Kingdom  remix  1
hummingdeath — 𝘢 𝘮𝘦𝘴𝘴 𝘵𝘰 𝘣𝘦 𝘣𝘶𝘳𝘪𝘦𝘥 𝘸𝘪𝘵𝘩 (2021) [Brazil]  Ｓｐａｔｉａｌ Ｍａｎｕｆａｃｔｕｒｅ Ｌｔｄ. — trendwhore (2021) [United States]  United States  dj_mix  1
Jorge Ben Jor — Cinco minutos (5 minutos) (1974) [Brazil]  Black Eyed Peas — Positivity (1998) [United States]  United States  sample  1
Amon Tobin — Kitchen Sink (Boxcutter remix) (2007) [Brazil]  King Cannibal — Darkness Creeps but the Nightmare Crawls (2010) [United Kingdom]  United Kingdom  mashup  1
Eumir Deodato — Also sprach Zarathustra (2000) [Brazil]  Fun Lovin’ Criminals — King of New York (1996) [United States]  United States  sample  1
Cazuza — Faz parte do meu show (1988) [Brazil]  Hitmakers Music — Faz Parte Do Meu Show (1998) [(unknown)]  (unknown)  remix  1
Sepultura — Lookaway (1996) [Brazil]  Tricil — Conserve & Destroy (2004) [(unknown)]  (unknown)  sample  1
CSS — Music Is My Hot Hot Sex (2005) [Brazil]  Super Mash Bros. — Stop That Booty (Here We Come) (2008) [(unknown)]  (unknown)  sample  1
