entity,authority,in_strength
Schoolly D,9.42807e-06,14
Alcazar,9.41753e-06,3
安藤浩和,9.39078e-06,7
M.O.O.N.,9.38719e-06,3
Johnny Hallyday,9.36712e-06,3
Michel Fugain,9.36673e-06,2
Marc Lavoine,9.36673e-06,2
Housemaster Boyz,9.36543e-06,7
Claude Nougaro,9.36447e-06,2
Mr. Probz,9.36447e-06,2
Petit Biscuit,9.36408e-06,1
Hello Bye Bye,9.36408e-06,1
Bigflo & Oli,9.36408e-06,1
Patrick Swayze,9.36408e-06,1
Ludovico Einaudi,9.36408e-06,1
Cocoon,9.36408e-06,1
Philippe Lafontaine,9.36408e-06,1
Pony Pony Run Run,9.36408e-06,1
Kenneth Bager,9.36408e-06,1
Feist,9.36061e-06,5
Daniel Balavoine,9.35553e-06,2
推定少女,9.35514e-06,1
I’m From Barcelona,9.35514e-06,1
Eagles of Death Metal,9.35514e-06,1
Mogwai,9.35514e-06,1
Murs,9.32421e-06,3
Chubby Checker,9.30452e-06,5
REZZ,9.29044e-06,14
Jackie Wilson,9.29e-06,2
chris†††,9.2825e-06,9
Shakespears Sister,9.24915e-06,2
Patti LaBelle,9.22355e-06,8
Inner Circle,9.22079e-06,4
Sheppard,9.20859e-06,2
Scooter,9.2051e-06,3
おおくまけんいち,9.1628e-06,2
Diana Shroomy,9.14762e-06,4
Orange Krush,9.12102e-06,3
AJJ,9.11613e-06,24
Syl Johnson,9.10103e-06,26
Meat Loaf,9.07996e-06,2
Die Ärzte,9.06602e-06,2
Guru Josh Project,9.03694e-06,2
Fatback,9.03146e-06,19
Santa Esmeralda,9.02119e-06,2
bôa,9.01743e-06,10
Off,9.01283e-06,3
Steppenwolf,9.01121e-06,3
Mother’s Finest,9.00381e-06,2
石川淳,9.00114e-06,5
Ранетки,8.99038e-06,3
Johnny Nash,8.98962e-06,2
Bobby Byrd,8.97882e-06,12
Wamdue Project,8.97765e-06,8
Ottawan,8.97413e-06,2
Xavier Naidoo,8.97312e-06,2
Evelyn Thomas,8.97216e-06,2
FPI Project,8.96929e-06,2
The Breeders,8.96861e-06,10
Baccara,8.96686e-06,2
Krush,8.96685e-06,2
Dynoro,8.96685e-06,2
Jimmy Cliff,8.96685e-06,2
Quiet Riot,8.96685e-06,2
Ritchie Valens,8.96685e-06,2
Maxi Priest,8.96685e-06,2
Orchester & Chor Eric Frantzen,8.96647e-06,1
Lil’ Louis,8.96647e-06,1
Bachman–Turner Overdrive,8.96647e-06,1
16 BIT,8.96647e-06,1
Nick Straker Band,8.96647e-06,1
Ralf Bendix,8.96647e-06,1
Andreas Bourani,8.96647e-06,1
Manau,8.96647e-06,1
Eleanor,8.96647e-06,1
Ali As,8.96647e-06,1
Sportfreunde Stiller,8.96647e-06,1
Vaya Con Dios,8.96647e-06,1
Schnappi,8.96647e-06,1
Kate Yanai,8.96647e-06,1
Gibson Brothers,8.96647e-06,1
Rainbow,8.96647e-06,1
Kate Ryan,8.96647e-06,1
Texas Lightning,8.96647e-06,1
Magic Affair,8.96647e-06,1
Amii Stewart,8.96647e-06,1
Rosenstolz,8.96647e-06,1
Ingo ohne Flamingo,8.96647e-06,1
Sasha,8.96647e-06,1
Stereoact,8.96647e-06,1
Klangwerk,8.96647e-06,1
Golden Earring,8.96647e-06,1
The Rasmus,8.96647e-06,1
UB40,8.96647e-06,1
Racey,8.96647e-06,1
Klaus Lage Band,8.96647e-06,1
Franco Piccolini,8.96647e-06,1
The Housemartins,8.96647e-06,1
Lorenz Büffel,8.96647e-06,1
Stretch,8.96647e-06,1
Adel Tawil,8.96647e-06,1
Soulsister,8.96647e-06,1
Wolfgang Ambros,8.96647e-06,1
Cozm-Oz-One,8.96647e-06,1
Steve “Silk” Hurley,8.96647e-06,1
Gary Moore,8.96647e-06,1
El Profesor,8.96647e-06,1
Bizz Nizz,8.96647e-06,1
Blues Brothers,8.96647e-06,1
Michael Schulte,8.96647e-06,1
Alizée,8.96647e-06,1
The Sensations,8.96647e-06,1
Confetti’s,8.96647e-06,1
Q‐Tip,8.96213e-06,5
Kelly Bailey,8.94942e-06,3
David Glen Eisley,8.94309e-06,2
Cutty Ranks,8.93219e-06,10
Wolfgun,8.9154e-06,3
Miranda Cosgrove,8.91428e-06,2
Matthewせいじ,8.9139e-06,1
Faith Hill,8.9139e-06,1
Уметь Бы,8.9139e-06,1
Janis HM,8.9139e-06,1
Razzlekhan,8.9139e-06,1
Fillypunk,8.9139e-06,1
Deedee Magno Hall,8.9139e-06,1
Grant MacDonald,8.9139e-06,1
VERSA,8.9139e-06,1
Ava Louise,8.9139e-06,1
Amerigo Gazaway,8.89789e-06,4
John Denver,8.81108e-06,4
Barbara Lewis,8.80242e-06,2
Danny Baranowsky,8.75702e-06,76
Pixel Terror,8.73163e-06,5
Kilo,8.73097e-06,6
MC Lars,8.73078e-06,1
Thirsty Merc,8.73078e-06,1
Shannon Noll,8.73078e-06,1
Cryptrik,8.73078e-06,1
DiamondBrickZ,8.73078e-06,1
Silverchair,8.73078e-06,1
Sleepycap,8.73078e-06,1
Grapefruit,8.73078e-06,1
Nikki+,8.73078e-06,1
Otis McDonald,8.73078e-06,1
Tamsin West,8.73078e-06,1
Dean Lewis,8.73078e-06,1
William Maranci,8.73078e-06,1
Jennifer Hanson,8.73078e-06,1
Icehouse,8.73078e-06,1
John Farnham,8.73078e-06,1
ミラクルミュージカル,8.72142e-06,2
Your Favorite Martian,8.72105e-06,1
Jake Chudnow,8.72105e-06,1
Vanilla,8.72105e-06,1
Tally Hall,8.72105e-06,1
vierre cloud,8.72105e-06,1
Elijah Who,8.72105e-06,1
hard life,8.72105e-06,1
3 Doors Down,8.72105e-06,1
El Huervo,8.72105e-06,1
K Suave,8.72105e-06,1
Kornell Aka Piermid,8.72105e-06,1
Psykopig,8.72105e-06,1
311,8.72105e-06,1
Mario Judah,8.72105e-06,1
石垣秀基,8.72105e-06,1
OTTO,8.72105e-06,1
Oliverse,8.64329e-06,3
X,8.63624e-06,4
Yung Lean,8.63147e-06,4
John Summit,8.62677e-06,5
Gryffin,8.61901e-06,2
Topic,8.61901e-06,2
Regard,8.61901e-06,2
Baby Rockstar,8.49553e-06,1
Yeanling3696,8.49553e-06,1
Busted,8.49553e-06,1
Richard Pryor,8.48657e-06,14
The Dramatics,8.45834e-06,20
Hooverphonic,8.40547e-06,9
The Reborn Identity,8.40546e-06,5
Copycat,8.40141e-06,3
Fissunix,8.40017e-06,2
Ulrich Schnauss,8.40017e-06,2
Martika,8.3807e-06,3
Reverend W.A. Donaldson,8.36534e-06,3
EDDIE,8.33432e-06,17
goreshit,8.30899e-06,32
Bobby Caldwell,8.30283e-06,16
Oliver,8.27421e-06,2
Belmondawg,8.22365e-06,2
Kizo,8.22365e-06,2
Alberto,8.22365e-06,2
Bedoes,8.22365e-06,2
Taco Hemingway,8.22365e-06,2
Simon Viklund,8.21221e-06,5
J Dilla,8.16201e-06,9
Japanese Breakfast,8.15698e-06,1
Rhett & Link,8.15698e-06,1
Leo Birenberg,8.15698e-06,1
Nicholas Karr,8.15698e-06,1
Eve,8.1137e-06,2
Xzibit,8.05678e-06,12
pegaSix,8.0491e-06,2
Crash Test Dummies,8.04897e-06,5
Baby Fox,8.03789e-06,4
Sisqó,8.02987e-06,3
Витас,8.01541e-06,3
SMiLE.dk,8.01505e-06,2
Dean Gray,7.91662e-06,2
The Biz,7.89268e-06,2
Don Caballero,7.81033e-06,3
Morgin Madison,7.77823e-06,15
Bob Dorough,7.73617e-06,5
Spooky Tooth,7.7325e-06,3
Steven Wilson,7.58446e-06,5
The Alchemist,7.56793e-06,3
Barrington Levy,7.49634e-06,9
Sewerslvt,7.49204e-06,15
Dexter Wansel,7.47408e-06,21
Autechre,7.42589e-06,23
Hubert Laws,7.40985e-06,7
Andrea McArdle,7.38282e-06,3
Brian Russell,7.375e-06,3
Tom Brock,7.37288e-06,2
Phil Manzanera,7.37288e-06,2
酒井省吾,7.37082e-06,7
Immortal Technique,7.36227e-06,3
i_o,7.2855e-06,15
ATTLAS,7.25968e-06,14
DJ Kool,7.21207e-06,3
Mary-Kate & Ashley Olsen,7.17888e-06,1
しも,7.17888e-06,1
brentalfloss,7.17888e-06,1
Claude‐Michel Schönberg,7.17888e-06,1
キャナァーリ倶楽部,7.17888e-06,1
Leslie Hall,7.17888e-06,1
Mom,7.17448e-06,3
Royce da 5′9″,7.17399e-06,3
Red Velvet,7.15053e-06,3
ana kennedy,7.15023e-06,2
dante red,7.15023e-06,2
Jedwill,7.15023e-06,2
ODD EYE CIRCLE,7.15023e-06,2
Baby Keem,7.13019e-06,10
Thomas & Friends,7.11898e-06,2
DJ Brisk,7.11898e-06,2
Trinidad James,7.08198e-06,2
三宅優,7.03641e-06,11
Giorgio Moroder,7.00374e-06,17
Heart,6.97539e-06,5
Magik Markers,6.97417e-06,2
Sunn O))),6.97417e-06,2
Dave Grusin,6.94045e-06,3
こなぐすり,6.91355e-06,10
MACHINE HEAD,6.91037e-06,1
Bob James,6.8938e-06,44
Freddie Mercury,6.88027e-06,3
Lil B,6.87077e-06,6
Alfred Newman,6.85972e-06,1
Orchestre de chambre Jean‐François Paillard,6.85972e-06,1
The Fratellis,6.85972e-06,1
Dirk Freymuth,6.85972e-06,1
Mutato Muzika,6.85972e-06,1
James Bay,6.85207e-06,2
Black Moth Super Rainbow,6.82941e-06,4
G Tom Mac,6.81514e-06,3
John Carpenter,6.81369e-06,16
Mr. Scruff,6.76917e-06,10
Blackalicious,6.72735e-06,5
Willie Hutch,6.71904e-06,22
Le Pamplemousse,6.71117e-06,2
Minnie Riperton,6.65123e-06,21
The High & Mighty,6.63827e-06,3
Big Brother & the Holding Company,6.63341e-06,2
wowaka,6.62861e-06,6
μ‐Ziq,6.62564e-06,5
The Bar‐Kays,6.61394e-06,22
EasyPop,6.59719e-06,1
gdgd妖精s,6.59719e-06,1
ULTRA-PRISM,6.59719e-06,1
Diggy‐MO’,6.59719e-06,1
工藤真由,6.59719e-06,1
足立賢明,6.59719e-06,1
ミルキィホームズ,6.59719e-06,1
遠藤正明,6.59719e-06,1
小林ゆう,6.59719e-06,1
Sister Sledge,6.57457e-06,14
山本健誌,6.55946e-06,4
Lesley Gore,6.51699e-06,2
Mouth & MacNeal,6.51651e-06,1
Queen + Paul Rodgers,6.51651e-06,1
Nouela,6.51651e-06,1
Jelly Roll,6.51651e-06,1
Jeff Bass,6.51651e-06,1
Serani,6.51651e-06,1
Ronald Stein,6.51651e-06,1
DJ Spinna,6.51651e-06,1
C & K Vocal,6.51651e-06,1
Boo‐Yaa T.R.I.B.E.,6.51651e-06,1
The Madd Rapper,6.51651e-06,1
Pescado Rabioso,6.51651e-06,1
Zoe Winkler,6.51651e-06,1
Funkmaster Flex,6.51651e-06,1
Gringo,6.51651e-06,1
Aristotle,6.51651e-06,1
Captain Sensible,6.48411e-06,4
Yazoo,6.46225e-06,11
Tim Bergling,6.45111e-06,2
David Lynch,6.43783e-06,3
Carlos Bess,6.43622e-06,3
Melvin Bliss,6.43053e-06,16
The Blackbyrds,6.38726e-06,28
Roxy Music,6.38687e-06,9
Tim Hecker,6.37291e-06,5
Hi‐Fi Set,6.34609e-06,2
Eero Koivistoinen Music Society,6.34609e-06,2
Michael Gray,6.26655e-06,3
Four Tops,6.22729e-06,8
Kleeer,6.22003e-06,5
Bob & Earl,6.21751e-06,8
Spiritualized,6.14009e-06,3
The Count Basie Orchestra,6.13846e-06,2
Georges Delerue,6.13826e-06,2
Buzzcocks,6.13826e-06,2
Galaxie 500,6.13826e-06,2
Peter Rudenko,6.13801e-06,1
Elliot Goldenthal,6.13801e-06,1
Gordon Jenkins,6.13801e-06,1
Quintette du Hot Club de France,6.13801e-06,1
The U.S. Army Blues,6.13801e-06,1
Liza Minnelli,6.13801e-06,1
Cyril Grantham,6.13801e-06,1
Pretenders,6.13801e-06,1
Paul Misraki,6.13801e-06,1
Erik Satie,6.13801e-06,1
Luscious Jackson,6.13801e-06,1
Paul Whiteman and His Orchestra,6.13801e-06,1
Sidney Bechet Quintet,6.13801e-06,1
Avon Long,6.13801e-06,1
Versus,6.13801e-06,1
Body/Head,6.13801e-06,1
Isabella Rossellini,6.13801e-06,1
Frank Glazer,6.13801e-06,1
Eddie Condon,6.13801e-06,1
Ciccone Youth,6.13801e-06,1
Marlene Dietrich,6.13801e-06,1
Tony Bennett,6.13801e-06,1
Suede,6.13801e-06,1
Possum Dixon,6.13801e-06,1
Alan Silvestri,6.13801e-06,1
The Big Sleep,6.13801e-06,1
Konstantin Trokay,6.13801e-06,1
Revolution Void,6.13801e-06,1
Baths,6.12471e-06,2
Ramin Djawadi,6.0833e-06,3
Andrea Bocelli,6.08228e-06,1
Trouble Funk,6.05613e-06,7
Olive,6.04727e-06,4
EELS,6.02841e-06,3
Howie B,6.02841e-06,3
Sie,6.02841e-06,3
Mercury Rev,6.02841e-06,3
Alpha,6.02841e-06,3
Frank Black,6.02841e-06,3
Pulp,5.96803e-06,3
Too $hort,5.95157e-06,5
Kx5,5.93588e-06,5
Smokey Robinson,5.91837e-06,9
Tommy Wright III,5.89155e-06,5
Apple Inc.,5.8531e-06,1
Tara Vaughan,5.8531e-06,1
Kansas,5.84475e-06,2
Moi Renee,5.83235e-06,5
MikeQ,5.82089e-06,5
The Clark Sisters,5.82065e-06,4
Lidell Townsell & M.T.F.,5.82065e-06,4
Foremost Poets,5.82065e-06,4
Kevin Aviance,5.82065e-06,4
TERIYAKI BOYZ,5.75902e-06,4
Young Nudy,5.748e-06,3
Renard,5.7295e-06,14
Big Daddy Kane,5.72816e-06,20
Detroit Emeralds,5.70559e-06,14
Reizoko Cj,5.70007e-06,20
Youth Code,5.68811e-06,3
Monsta,5.67075e-06,3
Michał Urbaniak,5.65923e-06,5
KaTT,5.65476e-06,9
The J.B.’s,5.65198e-06,16
Ethernet,5.64469e-06,2
Bob Bobin,5.64469e-06,2
nana hatori,5.64469e-06,2
Eumir Deodato,5.64091e-06,8
Amon Tobin,5.63578e-06,17
The Persuaders,5.63483e-06,4
24‐Carat Black,5.62132e-06,6
Saja Boys,5.59758e-06,2
Dave Koz,5.59153e-06,3
David Porter,5.55823e-06,9
Together,5.54779e-06,9
Jermaine Jackson,5.51357e-06,7
Lou Donaldson,5.49829e-06,17
Aesop Rock,5.44146e-06,6
Lucenzo,5.44123e-06,6
Bobby McFerrin,5.43678e-06,2
Ca$h Out,5.43291e-06,1
Dave Darell,5.43291e-06,1
Smallpools,5.43291e-06,1
DJ Antoine,5.43291e-06,1
Jon Connor,5.43291e-06,1
Junior M.A.F.I.A.,5.43052e-06,5
Molchat Doma,5.41791e-06,2
Joe Budden,5.40891e-06,2
Luke,5.39653e-06,5
Tricky,5.38718e-06,5
Bedwetter,5.38103e-06,5
Aaron Smith,5.36786e-06,4
高槻やよい,5.36606e-06,4
Deeperlove,5.36418e-06,1
仲野順也,5.35374e-06,13
Bo Diddley,5.34365e-06,2
Dead Can Dance,5.32138e-06,26
AOA,5.30078e-06,6
The Herbaliser,5.29665e-06,16
Koven,5.29215e-06,6
Cage the Elephant,5.28918e-06,3
Mark Ayres,5.28874e-06,1
Anthony Vincent,5.28874e-06,1
藤井志帆,5.28012e-06,2
甲田雅人,5.28012e-06,2
Lafayette Afro-Rock Band,5.27463e-06,7
The Whatnauts,5.26811e-06,12
NGHTMRE,5.2424e-06,3
Matthew Wilder,5.23988e-06,3
Jungle Brothers,5.23367e-06,18
Booker T. & the MG’s,5.22562e-06,10
Pusha T,5.22485e-06,8
Little Beaver,5.22187e-06,3
Roy Ayers,5.19918e-06,15
The Super Mario Players,5.1902e-06,2
Getter,5.18549e-06,10
Dan Forden,5.17774e-06,2
B2K,5.1643e-06,2
中塚章人,5.16138e-06,3
初音ミク,5.15691e-06,9
John Barry,5.15553e-06,22
Nightmargin,5.14903e-06,2
大谷幸,5.14804e-06,4
足立美奈子,5.14727e-06,6
Amy Lou Barnes,5.14683e-06,2
久石譲,5.14653e-06,3
Elephant Man,5.14642e-06,2
Bravehearts,5.1461e-06,1
Paradiso Girls,5.1461e-06,1
Joyner Lucas,5.1461e-06,1
辻横由佳,5.1461e-06,1
ZUNTATA,5.1461e-06,1
三澤康広,5.1461e-06,1
Jim Cummings,5.1461e-06,1
Jeremy Zuckerman,5.1461e-06,1
岩田恭明,5.1461e-06,1
タニウチヒデキ,5.1461e-06,1
14?,5.1461e-06,1
若井淑,5.1461e-06,1
Lil Mosey,5.1461e-06,1
The Moments,5.10628e-06,13
Boys Noize,5.10597e-06,5
Louise Attaque,5.10524e-06,2
Cocteau Twins,5.10514e-06,8
Agnes Obel,5.10281e-06,2
Sugar,5.10259e-06,1
Aldo Romano,5.10259e-06,1
Harry Allen,5.10259e-06,1
Backxwash,5.10259e-06,1
"Crosby, Stills, Nash & Young",5.10259e-06,1
Kwame Ture,5.10259e-06,1
ElyOtto,5.09444e-06,4
日向敏文,5.0938e-06,3
Cavendish Music,5.09337e-06,1
Kayla Nicole,5.09337e-06,1
Lukas Graham,5.09337e-06,1
TIN,5.09337e-06,1
Penelope Scott,5.09337e-06,1
The Lumineers,5.09337e-06,1
Leat’eq,5.09337e-06,1
J.Geco,5.09337e-06,1
Else,5.09337e-06,1
IC3PEAK,5.09337e-06,1
The Meters,5.08401e-06,28
Roger Troutman,5.07069e-06,10
Jon Gibson,5.05602e-06,3
Douglas Perry,5.05537e-06,2
Jean-Claude Vannier,5.05472e-06,1
Tha Eastsidaz,5.05472e-06,1
Chor der Staatsoper Stuttgart,5.05472e-06,1
Norman Cook,5.05472e-06,1
Aceyalone,5.03458e-06,3
Southside Movement,5.00412e-06,4
Norman Connors,4.9998e-06,12
Wreckx‐n‐Effect,4.98568e-06,2
Felix da Housecat,4.96885e-06,1
Hot Hot Heat,4.96885e-06,1
Måneskin,4.93037e-06,2
JVH‐C,4.93016e-06,1
Anitta,4.93016e-06,1
Normani,4.93016e-06,1
Your Favourite Garçon,4.93016e-06,1
Idris Muhammad,4.92434e-06,16
DJ Spin,4.87507e-06,1
Steve Arrington’s Hall of Fame,4.86464e-06,5
The Crystals,4.84713e-06,3
Sigur Rós,4.8201e-06,8
Mudvayne,4.81202e-06,1
William S. Burroughs,4.81116e-06,3
Slick Rick,4.81004e-06,19
"Blood, Sweat & Tears",4.79612e-06,10
Adamski,4.79257e-06,4
Bohannon,4.78467e-06,16
The Crusaders,4.77662e-06,17
Gesaffelstein,4.77656e-06,7
Noisia,4.68856e-06,4
Foreign Beggars,4.68779e-06,1
LT United,4.68779e-06,1
Flying Lotus,4.68779e-06,1
Marcos Valle,4.6791e-06,3
Edwin Hawkins Singers,4.6789e-06,2
Dodge & Fuski,4.65229e-06,2
Mr.C,4.6406e-06,2
Armin van Buuren,4.63029e-06,9
Manu Dibango,4.62071e-06,4
Tori Amos,4.6191e-06,9
Boom Clap Bachelors,4.60563e-06,3
Laura Les,4.60422e-06,4
Au5,4.601e-06,10
Menahan Street Band,4.58871e-06,2
Young Buck,4.56154e-06,5
Jah Cure,4.55233e-06,3
René & Angela,4.53866e-06,9
Rufus Thomas,4.53852e-06,11
Sleep Token,4.51532e-06,2
venturing,4.51046e-06,6
Doctor P,4.50422e-06,3
Bobby Womack,4.46826e-06,5
Charles Aznavour,4.46518e-06,6
The Spinners,4.45157e-06,10
Bad Computer,4.44685e-06,6
Snavs,4.44428e-06,4
Leon Haywood,4.43738e-06,8
Siouxsie and the Banshees,4.43452e-06,11
Buckethead,4.41765e-06,3
Imagination,4.41455e-06,8
Johnny Pate,4.40628e-06,2
Tiga,4.40523e-06,3
Clint Mansell,4.3805e-06,5
Camilo Sesto,4.369e-06,6
William Orbit,4.35549e-06,4
Jimi Tenor,4.35539e-06,3
Kayzo,4.34704e-06,2
Laurent Wolf,4.34286e-06,1
Marley Marl,4.33417e-06,8
kors k,4.31598e-06,9
Tristam,4.31094e-06,4
Tony Igy,4.31077e-06,6
Squarepusher,4.31045e-06,11
ILLENIUM,4.30988e-06,2
sapientdream,4.30968e-06,2
RICHIE ROZEX,4.3095e-06,1
Jessica Baio,4.3095e-06,1
Fitz and the Tantrums,4.3095e-06,1
ZachGG,4.3095e-06,1
Karen Harding,4.3095e-06,1
REAPER,4.3095e-06,1
Here Come the Mummies,4.3095e-06,1
Ookay,4.3095e-06,1
Nea,4.3095e-06,1
PLS&TY,4.3095e-06,1
twocolors,4.3095e-06,1
Savoy,4.3095e-06,1
Philip George,4.3095e-06,1
Oiki,4.3095e-06,1
SLANDER,4.3095e-06,1
Jung Kook,4.3095e-06,1
Lewis Roper,4.3095e-06,1
Syzz,4.3095e-06,1
Duvall,4.3095e-06,1
Navos,4.3095e-06,1
The Midnight,4.3095e-06,1
A7S,4.3095e-06,1
Sevenn,4.3095e-06,1
TheLegendTubaGuy,4.3095e-06,1
Julian Jordan,4.3095e-06,1
Last Heroes,4.3095e-06,1
SAINt JHN,4.3095e-06,1
Hayla,4.3095e-06,1
Syn Cole,4.3095e-06,1
Lofi Fruits Music,4.3095e-06,1
Bad Omens,4.3095e-06,1
Pascal Letoublon,4.3095e-06,1
Braaheim,4.3095e-06,1
Freddie Gibbs,4.30801e-06,6
無限 Existence,4.30482e-06,4
LANsv.,4.30482e-06,4
m1dy,4.29525e-06,4
Lamont Dozier,4.27756e-06,8
岩垂徳行,4.27036e-06,5
Julee Cruise,4.26159e-06,4
Harold Melvin & The Blue Notes,4.25826e-06,14
Leonard Cohen,4.23825e-06,2
death’s dynamic shroud,4.2367e-06,3
Biz Markie,4.23111e-06,17
My Bloody Valentine,4.22795e-06,4
Maxence Cyrin,4.22609e-06,2
Celebrity Murder Party,4.22535e-06,3
Patti Page,4.21732e-06,4
Bootsy’s Rubber Band,4.21639e-06,9
Bulgarian State Radio & Television Female Vocal Choir,4.20906e-06,11
Wax Audio,4.20538e-06,4
The Zombies,4.20482e-06,7
1 Trait Danger,4.20404e-06,5
The Masqueraders,4.20331e-06,3
The Who Boys,4.20185e-06,2
The Album Leaf,4.20044e-06,3
Chromatics,4.20044e-06,3
William Fitzsimmons,4.20026e-06,2
Udit Narayan,4.20026e-06,2
This Mortal Coil,4.20026e-06,2
Pwin ▲▲ Teaks,4.20008e-06,1
Jerry Fish & The Mudbug Club,4.20008e-06,1
The House of Love,4.20008e-06,1
The Polyphonic Spree,4.20008e-06,1
CALL911,4.20008e-06,1
DJ Jimi Needles,4.20008e-06,1
Smash,4.20008e-06,1
Soundhog,4.20008e-06,1
DJ Lobsterdust,4.20008e-06,1
All Angels,4.20008e-06,1
Carlos Serrano,4.20008e-06,1
Scott Matthew,4.20008e-06,1
The Last Town Chorus,4.20008e-06,1
The Times,4.20008e-06,1
Aimee Mann,4.20008e-06,1
Sir Simon,4.20008e-06,1
Jimmy Ruffin,4.20008e-06,1
DJ Daigo,4.20008e-06,1
KOE,4.20008e-06,1
The Mane Thing,4.20008e-06,1
Brat,4.20008e-06,1
The Rebel,4.20008e-06,1
▲NDRΛS,4.20008e-06,1
Patti Smith,4.20008e-06,1
Prom Queen,4.20008e-06,1
▲NGST,4.20008e-06,1
The Vaselines,4.20008e-06,1
The Kleptones,4.20008e-06,1
Flunk,4.20008e-06,1
Tashaki Miyaki,4.20008e-06,1
Civil Twilight,4.20008e-06,1
Titus Andronicus,4.20008e-06,1
Anita Lane,4.20008e-06,1
Surfer Blood,4.20008e-06,1
DJ Fox,4.20008e-06,1
D-Funk,4.20008e-06,1
FAROFF,4.20008e-06,1
DRA’man,4.20008e-06,1
The Icypoles,4.20008e-06,1
Get Well Soon,4.20008e-06,1
Joe Anderson,4.20008e-06,1
Zook,4.20008e-06,1
Sadam Ant,4.20008e-06,1
HVDES,4.19844e-06,9
Steam,4.19154e-06,2
Steve Cropper,4.19154e-06,2
Boogie Boys,4.18099e-06,3
OMORI,4.1682e-06,2
Phoebe Bridgers,4.15736e-06,3
The Chain Gang of 1974,4.15255e-06,1
SpongeBob and The Losers,4.15255e-06,1
Cults,4.15165e-06,2
BlackGummy,4.14839e-06,8
Low Poly,4.14839e-06,8
Kindrid,4.14839e-06,8
Spencer Brown,4.14839e-06,8
Annie,4.13772e-06,2
RJD2,4.13757e-06,3
88rising,4.13728e-06,2
Ark,4.1371e-06,1
Benjamin Theves,4.1371e-06,1
Para One,4.1371e-06,1
Jaron,4.1371e-06,1
The Showboys,4.13061e-06,10
Białas,4.11416e-06,2
Kalwi & Remi,4.11183e-06,1
Gruby Mielzky,4.11183e-06,1
White 2115,4.11183e-06,1
Gedz,4.11183e-06,1
Dawid Podsiadło,4.11183e-06,1
sanah,4.11183e-06,1
Hodak,4.11183e-06,1
One‐T,4.11183e-06,1
chillwagon,4.11183e-06,1
Cypis,4.11183e-06,1
Duke Dumont,4.11183e-06,1
PurpleHaze,4.11183e-06,1
Magiera,4.11183e-06,1
Jae Deal,4.10078e-06,2
Switch,4.10051e-06,2
Walter Murphy,4.09454e-06,8
Weldon Irvine,4.09432e-06,3
Lou Garcia,4.08796e-06,21
Ferrante and Teicher,4.07536e-06,2
Eddie Kendricks,4.05307e-06,17
Kill the Noise,4.05157e-06,10
Lush,4.04105e-06,3
Instant Funk,4.03529e-06,3
Metal Fingers,4.03061e-06,13
Mudeth,4.02455e-06,1
早崎あすか,4.02455e-06,1
Arash,4.02455e-06,1
ConcernedApe,4.02455e-06,1
Magna,4.02455e-06,1
Magic Sword,4.02455e-06,1
須戸敏之,4.02455e-06,1
Halloween Thrills,4.02455e-06,1
A R I Z O N A,4.02455e-06,1
SlyphStorm,4.02455e-06,1
Fixions,4.02455e-06,1
David Sylvian,4.02435e-06,4
David Ruffin,4.02419e-06,4
Robert Frost,4.02089e-06,2
To Rococo Rot,4.02057e-06,3
k.d. lang,4.01894e-06,2
Ambisonic,4.01894e-06,2
Prefab Sprout,4.01894e-06,2
Michael Franti & Spearhead,4.01894e-06,2
Spacer,4.01894e-06,2
Talvin Singh,4.01894e-06,2
Dubstar,4.01894e-06,2
ram jam world,4.01894e-06,2
Naked Funk,4.01894e-06,2
The Teardrop Explodes,4.01894e-06,2
Manzel,4.00508e-06,7
Ace Hood,3.99769e-06,4
Purple Disco Machine,3.9788e-06,3
The Surfaris,3.96643e-06,3
DAGames,3.95873e-06,2
Digitalism,3.95831e-06,4
A Plus D,3.95831e-06,1
William Shatner,3.95831e-06,1
Travis,3.95831e-06,1
Z‐Trip,3.95831e-06,1
GusGus,3.95831e-06,1
Inhumanz,3.95831e-06,1
Lionel Vinyl,3.95831e-06,1
Cheekyboy,3.95831e-06,1
The City of Prague Philharmonic Orchestra,3.95831e-06,1
The Lovemakers,3.95831e-06,1
Phil n’ Dog,3.95831e-06,1
Tony Joe White,3.94749e-06,2
Connie Price & The Keystones,3.94634e-06,1
Street Sweeper Social Club,3.94634e-06,1
Freedom Express,3.94634e-06,1
Classics IV,3.94634e-06,1
Bliss n Eso,3.94634e-06,1
The Perceptionists,3.94634e-06,1
MFSB,3.94603e-06,13
Steps,3.94281e-06,4
Ten Wheel Drive,3.91134e-06,3
Janko Nilović,3.90973e-06,2
Rav,3.90319e-06,4
Rufus,3.90239e-06,14
P9,3.90098e-06,4
Orangy,3.89855e-06,2
Natalie Cole,3.88916e-06,12
The Jones Girls,3.88876e-06,5
Fat Boys,3.87616e-06,9
Cassie,3.84817e-06,6
L.A. Carnival,3.8474e-06,8
Evelyn “Champagne” King,3.84679e-06,14
Raleigh Theodore Sakers,3.84388e-06,5
Wet Willie,3.82125e-06,2
Daler Mehndi,3.80176e-06,3
I.E.M.,3.79207e-06,2
Michael Price,3.79207e-06,2
Psychic Graveyard,3.79207e-06,2
Queen Latifah,3.78765e-06,7
The Whole Darn Family,3.78724e-06,5
Jeff Lorber Fusion,3.78584e-06,6
Oneohtrix Point Never,3.78457e-06,6
