entity,pagerank_rev,out_strength
Le Wanski,0.000177163,11
Nmesh,0.000176507,11
Tempus Tonic Philharmonic,0.000176437,7
Roberts Gobziņš,0.000176189,18
VTQ,0.000176183,15
Jurassic 5,0.0001761,33
Jake One,0.000176063,31
Laurent Garnier,0.000175915,18
Deltron 3030,0.00017577,13
Pretty Lights,0.000174586,29
Sub6,0.000174345,5
MaedaSalt,0.000174257,22
Cool D,0.000174164,36
Hidden Persuaders,0.000172908,20
Andrew Rayel,0.000172878,2
Rufige Kru,0.000171591,16
DjCyCO,0.000171524,3
Wisp,0.000171303,18
Foyer des Arts,0.000171302,17
Toronto Is Broken,0.0001711,14
BlueBrony,0.000170931,1
XXXTENTACION,0.000170528,12
The Cynphetic Collective,0.000170175,16
MAN‐CAT,0.000170049,22
Ultimazone,0.000169286,69
DJ WILDPARTY,0.000168513,20
SQUΛD GOΛLS,0.000167751,11
Kx5,0.000167499,12
Astrix,0.000167324,8
Negativland,0.000166103,35
Renard,0.000165915,68
Steve Kerr,0.00016501,11
Eddie Stubbs,0.000164843,20
Pete Rock,0.000164797,27
MC Zappa,0.0001639,24
au miel,0.000163731,9
Kool A.D.,0.000162755,17
Fidelium,0.000162302,1
Eiden XII,0.000161958,18
Re-Drum,0.000161031,21
Modena City Ramblers,0.000160672,21
Ford & Lopatin,0.000160536,17
The Kleptones,0.000160088,62
MACROSS 82–99,0.000159872,22
Oddisee,0.000158859,19
Bran Van 3000,0.000158745,19
Lecrae,0.000158669,9
Max Flyant,0.000158587,14
Black Eyed Peas,0.000158432,29
GST大好き,0.000157852,15
guitarhero,0.000157731,1
EDDIE,0.000156911,11
長沼英樹,0.000156785,46
Solarstone,0.000156569,13
slowerpace 音楽,0.000156132,26
Masayoshi Minoshima,0.000155775,15
The Speed Freak,0.000154651,21
Liquid Lines,0.000153902,40
Autechre,0.000153474,10
Eli & Fur,0.000153004,5
Cypress Hill,0.000152883,31
iWillBattle,0.00015257,27
afro,0.000152518,4
JPEGMAFIA,0.000152047,14
MEGAREX,0.000151659,15
Wax Audio,0.000150679,76
Juc-E3,0.000150379,12
$WAGGOT,0.000150303,13
Closed,0.000150244,15
Mashup-Germany,0.000149763,24
Wrathu,0.000149427,13
Danger Mouse,0.000148799,43
上田麗奈,0.000148735,17
Joyner Lucas,0.00014821,8
Manix,0.00014813,23
AFFKT,0.000148051,9
