brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Léo Santana — Século 21 (2020) [Brazil],2,2,0
Aghast View — Timeless (2000) [Brazil],2,2,0
Elowinz — Granjurema (2019) [Brazil],2,2,0
Cement Tea — Another Tsundere Thing (2020) [Brazil],2,2,0
Alok — Hear Me Now (2016) [Brazil],2,2,0
FTampa — Chaos (2013) [Brazil],2,2,0
Antônio Carlos Jobim — Insensatez (How Insensitive) (1963) [Brazil],1,0,1
Eumir Deodato — Nights in White Satin (1973) [Brazil],1,0,1
Barão Vermelho — Maior abandonado (1984) [Brazil],1,0,1
Gutterpink — NoLoveWorld (2021) [Brazil],1,0,1
Nana Caymmi — Tens (Calmaria) (1975) [Brazil],1,0,1
Moonsailor — Dot's Rebirth (CHIPSTYLE) (2020) [Brazil],1,0,1
Moonsailor — Tapyoka Plains (2020) [Brazil],1,0,1
Triple Discharge — Mystery (2019) [Brazil],1,0,1
Barão Vermelho — Pro dia nascer feliz (1983) [Brazil],1,0,1
DJ Marky — LK (radio edit) (2002) [Brazil],1,0,1
Flict — Orientation (2013) [Brazil],1,0,1
Eumir Deodato — September 13 (1973) [Brazil],1,0,1
Clara Nunes — Sabiá (-1) [Brazil],1,0,1
Antonio Pinto — Estória da Boca (2002) [Brazil],1,0,1
Os Cariocas — Cartão de visitas (1963) [Brazil],1,0,1
Zimbo Trio — Barquinho diferente (1964) [Brazil],1,0,1
Marcos Valle — Bôdas de sangue (2001) [Brazil],1,0,1
Amon Tobin — Foley Room (2007) [Brazil],1,0,1
Felguk — Jack It (2011) [Brazil],1,0,1
Felguk — Dead Man Swag (2013) [Brazil],1,0,1
Antônio Carlos Jobim — Favela (1989) [Brazil],1,0,1
Trotter — Six to Fix (2013) [Brazil],1,0,1
Laurindo Almeida — The Lamp Is Low (1969) [Brazil],1,0,1
VIRTUAL PLEASURE — ゴールデンナゲット (2022) [Brazil],1,0,1
Rauppwar — MAGAZINE (Original Track) (2023) [Brazil],1,0,1
Amon Tobin — Verbal (Prefuse 73 Dipped Escalade mix) (2003) [Brazil],1,0,1
Moonsailor — Underwater Predicament (2020) [Brazil],1,0,1
Ana Carolina — Problema Social (2005) [Brazil],1,0,1
Deize Tigrona — Injeção (2004) [Brazil],1,0,1
Speed Freaks — Out of Control (1997) [Brazil],1,0,1
Elza Soares — Mas que nada (2004) [Brazil],1,0,1
Marginal Men — Footworkzzzz (2016) [Brazil],1,0,1
Moonsailor — Cloudpost Zone (Rad Raccoon Theme) (2020) [Brazil],1,0,1
Milton Nascimento — Cais (1972) [Brazil],1,0,1
Emílio Santiago — O Amigo de Nova York (1983) [Brazil],1,0,1
Leila Pinheiro — Tudo em cima (1983) [Brazil],1,0,1
Gilberto Gil — To Sao Paulo With Love (Jean Claude Gavri re-edit) (2013) [Brazil],1,0,1
Tati Quebra Barraco — Satisfação (2004) [Brazil],1,0,1
Fafá de Belém — Naturalmente (1975) [Brazil],1,0,1
Milton Nascimento — Francisco (1976) [Brazil],1,0,1
"Jorge Ben Jor — Chove, chuva (1963) [Brazil]",1,0,1
Caetano Veloso — Tonada de luna llena (2003) [Brazil],1,0,1
Marcos Valle — A Paraíba não é Chicago (1981) [Brazil],1,0,1
MC Pogba — Ela Joga na Hora (2025) [Brazil],1,0,1
Astrud Gilberto — Agua de beber (Water to Drink) (1965) [Brazil],1,0,1
Eumir Deodato — Rhapsody in Blue (1973) [Brazil],1,0,1
hummingdeath — 𝘢 𝘮𝘦𝘴𝘴 𝘵𝘰 𝘣𝘦 𝘣𝘶𝘳𝘪𝘦𝘥 𝘸𝘪𝘵𝘩 (2021) [Brazil],1,0,1
