corridor_deriv_draws_from_source,weight
melodic death metal → death metal,21
grime → electronic,21
gabber → electronic,21
dark electro → industrial,21
ambient → avant-garde,20
ambient → modern classical,20
electronic → new age,20
electronic → broken beat,20
electronic → art rock,20
rock → folk rock,20
rock → industrial,20
pop → latin,20
pop → neue deutsche welle,20
disco → r&b,20
house → j-pop,20
experimental → dance-pop,20
breaks → drum and bass,20
edm → progressive house,20
dubstep → electropop,20
hard rock → classic rock,20
hard rock → arena rock,20
indie rock → pop,20
progressive house → minimal techno,20
comedy → hard rock,20
alternative rock → grunge,20
ebm → dark electro,20
downtempo → trip hop,20
black metal → metal,20
breakbeat → house,20
anarcho-punk → punk,20
hardcore punk → punk,20
bassline → electronic,20
cloud rap → electronic,20
dariacore → electronic,20
nu metal → rock,20
thrash metal → heavy metal,20
industrial metal → electronic,20
neurofunk → drum and bass,20
dark ambient → experimental,20
hardcore hip hop → hip hop,20
country rock → country,20
electro swing → electronic,20
vaporwave → electronic,20
melodic house → ambient house,20
contemporary folk → pop,20
comedy hip hop → hip hop,20
ambient → broken transmission,19
electronic → cloud rap,19
electronic → noise,19
electronic → musical,19
hip hop → musical,19
hip hop → comedy,19
rock → folk,19
rock → punk,19
drum and bass → dancefloor drum and bass,19
blues → r&b,19
blues → rock and roll,19
experimental → disco,19
electro → trance,19
electro → j-pop,19
electropop → j-pop,19
eurobeat → j-pop,19
dance → indie pop,19
breaks → dance,19
alternative r&b → hip hop,19
dubstep → breakbeat,19
dubstep → trance,19
dubstep → rock,19
dubstep → alternative rock,19
deep house → jazz,19
contemporary r&b → disco,19
soul → neo soul,19
funk → hip hop,19
industrial → alternative rock,19
ballad → schlager,19
downtempo → house,19
field recording → ambient,19
heavy metal → j-pop,19
pop punk → pop,19
dub techno → ambient,19
g-funk → hip hop,19
pop rap → pop,19
broken beat → downtempo,19
post-hardcore → alternative rock,19
tech house → electronic,19
eurodance → dance,19
turntablism → hip hop,19
ambient → deep house,18
ambient → house,18
electronic → folk rock,18
electronic → dirty south,18
hip hop → house,18
hip hop → punk,18
hip hop → breaks,18
hip hop → contemporary jazz,18
rock → experimental,18
pop rock → electronic,18
pop → christmas music,18
pop → classical,18
pop → folk rock,18
experimental → k-pop,18
dance → big room house,18
dance → brostep,18
breaks → techno,18
classical → modern classical,18
deep house → dance-pop,18
complextro → electronic,18
alternative rock → hard rock,18
alternative rock → funk,18
alternative rock → gothic,18
jazz → rock,18
dance-pop → euro-trance,18
industrial → ebm,18
heavy metal → rock,18
latin pop → latin,18
alternative metal → metal,18
chiptune → electro,18
future bass → electronic,18
metal → nerdcore,18
metalcore → metal,18
jazz-funk → disco,18
funk metal → rock,18
ambient → art pop,17
ambient → ebm,17
ambient → trip hop,17
electronic → chillout,17
electronic → comedy,17
electronic → dub techno,17
electronic → east coast hip hop,17
electronic → hyperpop,17
electronic → classic rock,17
hip hop → reggaeton,17
hip hop → instrumental,17
hip hop → gospel,17
hip hop → folk rock,17
hip hop → alternative metal,17
rock → hip hop,17
rock → alternative metal,17
pop → electronica,17
pop → hard rock,17
house → electro,17
experimental → big beat,17
electro → progressive rock,17
electropop → pop rock,17
dance → festival progressive house,17
dance → future bass,17
big room house → electronic,17
techno → ambient,17
techno → disco,17
dubstep → briddim,17
death metal → melodic death metal,17
gangsta rap → disco,17
k-pop → j-pop,17
dub → indie rock,17
dub → pop,17
big beat → breakbeat,17
breakcore → industrial,17
breakcore → breakbeat,17
latin → cumbia,17
ballad → rock,17
pop punk → alternative rock,17
breakbeat → latin,17
alternative metal → rock,17
chillwave → synthwave,17
progressive trance → trance,17
chiptune → fm synthesis,17
plunderphonics → rock,17
avant-garde jazz → jazz,17
tech house → progressive house,17
synthwave → cyberpunk,17
barber beats → atmospheric black metal,17
g-house → tech house,17
ambient → idm,16
electronic → electropunk,16
electronic → grime,16
electronic → bassline,16
electronic → afrobeat,16
drum and bass → darkstep,16
pop rock → jazz rock,16
pop → k-pop,16
pop → club,16
experimental → city pop,16
electro → techno,16
electropop → downtempo,16
dance → bassline,16
dance → funk,16
dance → dancefloor drum and bass,16
breaks → alternative rock,16
dubstep → j-pop,16
dubstep → trip hop,16
classical → j-pop,16
